	sampleID	x	y
527	4352908305	-4.472	11.233
528	4352909569	-1.17	12.06
529	4352909883	13.302	-8.884
530	4352910301	18.583	4.367
531	4352910568	18.583	4.367
532	4352911125	13.54	8.722000000000001
533	4352911847	13.302	-8.884
534	4352912957	34.026	0.77
535	4352913016	18.583	4.367
536	4352913218	21.017	4.283
537	4352914106	-15.582	11.890999999999998
538	4352914196	-8.2	12.2
539	4352914792	-14.917	13.567
540	4352915063	-15.9	13.55
541	4352915842	-15.9	13.55
542	4352915990	-4.235	11.15
543	4352916675	13.558	4.341
544	4352917082	-14.917	13.567
545	4352917752	-9.53	8.48
546	4352918060	29.701	-0.7509999999999999
547	4352918180	-4.235	11.15
548	4352919242	-4.472	11.233
549	4352919876	14.212	10.708
550	4352921164	-4.235	11.15
551	4352921590	-4.535	11.235
552	4352922714	38.948	-4.94
553	4352922919	29.701	-0.7509999999999999
554	4352923314	-0.261	6.093999999999999
555	4352924825	-4.535	11.235
556	4352926046	-4.472	11.233
557	4352927095	13.844	4.777
558	4352927182	13.558	4.341
559	4352927376	-4.235	11.15
560	4352927411	13.558	4.341
561	4352927415	18.583	4.367
562	4352928058	34.026	0.77
563	4352928060	34.026	0.77
564	4352928872	-4.535	11.235
565	4352930238	39.909	-3.511
566	4352931054	-10.03	9.28
567	4352931094	35.299	-23.716
568	4352931106	-15.649	11.957
569	4352931792	-15.9	13.55
570	4352932474	13.844	4.777
571	4352932845	34.026	0.77
572	4352933084	-4.235	11.15
573	4352933479	9.455	0.384
574	4352933495	-0.2189999999999999	5.667999999999999
575	4352933830	13.302	-8.884
576	4352934953	-15.9	13.55
577	4352935537	-9.53	8.48
578	4352935561	-7.81	10.83
579	4352936469	-8.33	11.47
580	4352936913	-4.472	11.233
581	4352937420	-14.917	13.567
582	4352937659	-14.917	13.567
583	4352937711	-14.917	13.567
584	4352938687	34.026	0.77
585	4352939334	38.948	-4.94
586	4352939456	-15.649	11.957
587	4352939864	35.299	-23.716
588	4352940242	34.026	0.77
589	4352940569	-4.472	11.233
590	4352940654	-8.33	11.47
591	4352941704	13.529000000000002	8.66
592	4352941992	-15.582	11.890999999999998
593	4352942452	9.455	0.384
594	4352942490	13.302	-8.884
595	4352942567	-4.535	11.235
596	4352943190	-4.472	11.233
597	4352943362	-15.582	11.890999999999998
598	4352943786	9.455	0.384
599	4352943853	14.442	5.747000000000001
600	4352944063	-15.582	11.890999999999998
601	4352944075	13.302	-8.884
602	4352944870	-7.84	12.68
603	4352945351	34.026	0.77
604	4352946086	-4.823	5.898
605	4352946442	13.844	4.777
606	4352946626	-4.472	11.233
607	4352946889	38.948	-4.94
608	4352947092	13.844	4.777
609	4352947554	-14.917	13.567
610	4352947673	-4.823	5.898
611	4352947990	34.026	0.77
612	4352947991	-14.917	13.567
613	4352948305	-14.917	13.567
614	4352948341	21.017	4.283
615	4352948378	9.455	0.384
616	4352948652	9.455	0.384
617	4352949635	-4.472	11.233
618	4352950338	34.026	0.77
619	4352950355	10.868	5.726
620	4352950767	34.026	0.77
621	4352950970	-14.917	13.567
622	4352951371	-6.13	13.2
